# STR_XXXX part is read and XXXX becomes the string id number.
# Everything after the colon and before the new line will be saved as the string.
# Use # at the beginning of a line to leave a comment.

STR_0007    :Miniature Railroad

STR_0010    :Boat Hire

STR_0015    :Bobsled Coaster

STR_0027    :Bumper Cars

STR_0035    :Carousel

STR_0038    :Restroom

STR_0041    :3D Theater

STR_0045    :Elevator

STR_0047    :ATM

STR_0052    :Tunnel Of Horror

STR_0532    :
STR_0533    :

STR_0537    :
STR_0538    :
STR_0539    :
STR_0540    :
STR_0541    :
STR_0542    :
STR_0543    :
STR_0544    :
STR_0545    :
STR_0546    :
STR_0547    :
STR_0548    :
STR_0549    :
STR_0550    :
STR_0551    :
STR_0552    :
STR_0553    :

STR_0557    :
STR_0558    :
STR_0559    :
STR_0560    :
STR_0561    :

STR_0568    :

STR_0570    :

STR_0572    :Large capacity boats travel along a wide water channel, propelled up slopes by a conveyer belt, accelerating down steep slopes to soak the riders with a gaint splash
STR_0573    :Powered helicoper shaped cars running on a steel track, controlled by the pedalling of the riders
STR_0574    :Riders are held in special harnesses in a lying-down position, travlling through twisted track and inversions either on their backs or facing the ground

STR_0576    :

STR_0579    :

STR_0582    :
STR_0583    :

STR_0589    :

STR_0592    :
STR_0593    :
STR_0594    :
STR_0595    :
STR_0596    :
STR_0597    :

STR_0601    :

STR_0835    :Game initialization failed
STR_0836    :Unable to start game in a minimized state
STR_0837    :Unable to initialize graphics system

STR_0886    :Quit Game

STR_0976    :Restrooms and Information Kiosks

STR_1102    :Traveling at {VELOCITY}

STR_1105    :Traveling at {VELOCITY}

STR_1108    :Traveling at {VELOCITY}

STR_1120    :Traveling at {VELOCITY}

STR_1129    :All vehicles in same colors
STR_1130    :Different colors per {STRINGID}
STR_1131    :Different colors per vehicle

STR_1136    :{SMALLFONT}{BLACK}Select main color
STR_1137    :{SMALLFONT}{BLACK}Select additional color 1
STR_1138    :{SMALLFONT}{BLACK}Select additional color 2
STR_1139    :{SMALLFONT}{BLACK}Select support structure color
STR_1140    :{SMALLFONT}{BLACK}Select vehicle color scheme option

STR_1215    :{WINDOW_COLOUR_2}Synchronize with adjacent stations
STR_1216    :{SMALLFONT}{BLACK}Select whether to synchronize departure with all adjacent stations (for 'racing')

STR_1396    :{SMALLFONT}{BLACK}Color scheme options

STR_1502    :{SMALLFONT}{OPENQUOTES}I need to go to the bathroom{ENDQUOTES}

STR_1525    :{SMALLFONT}{OPENQUOTES}These fries from {STRINGID} are really good value{ENDQUOTES}

STR_1527    :{SMALLFONT}{OPENQUOTES}This cotton candy from {STRINGID} is really good value{ENDQUOTES}

STR_1537    :{SMALLFONT}{OPENQUOTES}This candy apple from {STRINGID} is really good value{ENDQUOTES}

STR_1539    :{SMALLFONT}{OPENQUOTES}This donut from {STRINGID} is really good value{ENDQUOTES}

STR_1559    :{SMALLFONT}{OPENQUOTES}I'm not paying that much for fries from {STRINGID}{ENDQUOTES}

STR_1561    :{SMALLFONT}{OPENQUOTES}I'm not paying that much for cotton candy from {STRINGID}{ENDQUOTES}

STR_1571    :{SMALLFONT}{OPENQUOTES}I'm not paying that much for a candy apple from {STRINGID}{ENDQUOTES}

STR_1573    :{SMALLFONT}{OPENQUOTES}I'm not paying that much for a donut from {STRINGID}{ENDQUOTES}

# Two removed inside jokes about Intamin and Phoenix

STR_1667    :{WINDOW_COLOUR_2}Bathroom:

STR_1753    :{SMALLFONT}{BLACK}Show summarized list of guests in park

STR_1790    :{SMALLFONT}{BLACK}Select uniform color for this type of staff
STR_1791    :{WINDOW_COLOUR_2}Uniform color:

STR_1819    :{WINDOW_COLOUR_2}All guests (summarized)

STR_1834    :Guests favorite

STR_1842    :Favorite of: {COMMA16} guest
STR_1843    :Favorite of: {COMMA16} guests

STR_1967    :{WINDOW_COLOUR_2}Fries price:

STR_1969    :{WINDOW_COLOUR_2}Cotton Candy price:

STR_1979    :{WINDOW_COLOUR_2}Candy Apple price:

STR_1981    :{WINDOW_COLOUR_2}Donut price:

STR_1995    :Fries

STR_1997    :Cotton Candy

STR_2007    :Candy Apple

STR_2009    :Donut

STR_2023    :Fries

STR_2025    :Cotton Candy

STR_2035    :Candy Apples

STR_2037    :Donuts

STR_2051    :some Fries

STR_2053    :some Cotton Candy

STR_2063    :a Candy Apple

STR_2065    :a Donut

STR_2079    :Fries

STR_2081    :Cotton Candy

STR_2091    :Candy Apple

STR_2093    :Donut

STR_2250    :{BABYBLUE}New scenery/themeing now available:{NEWLINE}{STRINGID}

STR_2259    :Scenery & Themeing

STR_2273    :{WINDOW_COLOUR_2}Scenery/themeing:{NEWLINE}{BLACK}{STRINGID}

STR_2284    :Scenery/Themeing

STR_2360    :{WINDOW_COLOUR_2}Display Resolution:

STR_2476    :{SMALLFONT}{BLACK}Research new scenery and themeing

STR_2499    :Rotate view



# New strings used in the cheats window previously these were ???

STR_2757    :Force Sun
