# STR_XXXX part is read and XXXX becomes the string id number.
# Everything after the colon and before the new line will be saved as the string.
# Use # at the beginning of a line to leave a comment.

STR_0002    :Kierrevuoristorata
STR_0003    :Seisomavuoristorata
STR_0004    :Riippukeinuvuoristorata
STR_0005    :Käänteinen vuoristorata
STR_0006    :Juniorivuoristorata
STR_0007    :Pienoisrautatie
STR_0008    :Yksiraiteinen rautatie
STR_0009    :Pieni riippuva vuoristorata
STR_0010    :Veneajelu
STR_0011    :Puinen villihiiri
STR_0012    :Estejuoksu
STR_0013    :Autoajelu
STR_0014    :Laukaistu vapaapudotus
STR_0015    :Rattikelkkarata
STR_0016    :Näköalatorni
STR_0017    :Silmukkavuoristorata
STR_0018    :Veneliukumäki
STR_0019    :Kaivosjunarata
STR_0020    :Tuolihissi
STR_0021    :Korkkiruuvivuoristorata
STR_0022    :Labyrintti
STR_0023    :Kierreliukumäki
STR_0024    :Mikroautot
STR_0025    :Tukkijoki
STR_0026    :Koskiseikkailu
STR_0027    :Törmäysautot
STR_0028    :Merirosvolaiva
STR_0029    :Keinuva käänteinen laiva
STR_0030    :Ruokakoju
STR_0031    :Tuntematon koju (1D)
STR_0032    :Juomakoju
STR_0033    :Tuntematon koju (1F)
STR_0034    :Kauppa
STR_0035    :Karuselli
STR_0036    :Tuntematon koju (22)
STR_0037    :Infokioski
STR_0038    :Vessa
STR_0039    :Maailmanpyörä
STR_0040    :Simulaattori
STR_0041    :3D-teatteri
STR_0042    :Yläpyörähdys
STR_0043    :Avaruusrenkaat
STR_0044    :Päinvastainen vapaapudotusrata
STR_0045    :Hissi
STR_0046    :Pystysuora tiputusvuoristorata
STR_0047    :Pankkiautomaatti
STR_0048    :Vääntö
STR_0049    :Kummitustalo
STR_0050    :Ensiapuhuone
STR_0051    :Sirkusesitys
STR_0052    :Kummitusjuna
STR_0053    :Teräskiehkuravuoristorata
STR_0054    :Puinen vuoristorata
STR_0055    :Sivukitkavuoristorata
STR_0056    :Villihiiri
STR_0057    :Moniulottuvuusvuoristorata
STR_0058    :Tuntematon laite (38)
STR_0059    :Lentävä vuoristorata
STR_0060    :Tuntematon laite (3A)
STR_0061    :Virginian kela
STR_0062    :Roiskahdusveneet
STR_0063    :Minihelikopterit
STR_0064    :Makuuvuoristorata
STR_0065    :Riippuva yksiraiteinen rautatie
STR_0066    :Tuntematon laite (40)
STR_0067    :Päinvastainen vuoristorata
STR_0068    :Sydänviivakiehkurarata
STR_0069    :Minigolffi
STR_0070    :Jättirata
STR_0071    :Pyörivä tiputus
STR_0072    :Lentävät lautaset
STR_0073    :Kiero talo
STR_0074    :Yksiraiteiset polkupyörät
STR_0075    :Tiivis käänteinen rata
STR_0076    :Vesirata
STR_0077    :Ilmakäyttöinen pystysuora rata
STR_0078    :Kääteinenhiusneularata
STR_0079    :Taikamatto
STR_0080    :Sukellusveneajelu
STR_0081    :Jokilautat
STR_0082    :Tuntematon laite (50)
# 0083 is a name, and can't be translated. The ride itself was named after USS Enterprise from star trek, see wikipedia.

STR_0084    :Tuntematon laite (52)
STR_0085    :Tuntematon laite (53)
STR_0086    :Tuntematon laite (54)
STR_0087    :Tuntematon laite (55)
STR_0088    :Käänteinen impulssirata
STR_0089    :Minivuoristorata
STR_0090    :Kaivosajelu
STR_0091    :Tuntematon laite (59)
STR_0092    :Induktiomoottorilaukaisuvuoristorata

STR_0518    :Matkustajat kulkevat sähköisillä junilla yksittäisellä raiteella

STR_0532    :
STR_0533    :
STR_0534    :Itsestään ajavat bensalla kulkevat mikroautot

STR_0537    :
STR_0538    :
STR_0539    :
STR_0540    :
STR_0541    :
STR_0542    :
STR_0543    :
STR_0544    :
STR_0545    :
STR_0546    :
STR_0547    :
STR_0548    :
STR_0549    :
STR_0550    :
STR_0551    :
STR_0552    :
STR_0553    :

STR_0555    :Pystysuora torni, jossa vieraat kulkevat hissillä ylös tai alas päästäkseen tasolta toiselle
STR_0556    :Leveät vaunut laskevat pystysuoraa rataa täyden vapaapudotuskokemuksen saavuttamiseksi
STR_0557    :
STR_0558    :
STR_0559    :
STR_0560    :
STR_0561    :
STR_0562    :Moottoroidut vaunut kulkevat monitasoista rataa pelottavien lavastusten ja erikoisefektien läpi
# 'Air time' is an expression used in finnish too, for the lack of a better word

STR_0564    :Puisen radan takia tämä vuoristorata on nopea, raaka, meluisa ja tarjoaa 'out of control'-kokemuksen ja paljon airtimeä
STR_0565    :Yksinkertainen puinen vuoristorata joka kykenee vain lempeisiin mäkiin ja käännöksiin. Vaunut pysyvät radalla sivukitkapyörien ja painovoiman avulla
STR_0566    :Yksittäiset vuoristoratavaunut singahtelevat pitkin tiukkaa mutkarataa jossa on teräviä kaarteita ja pudotuksia
STR_0567    :Radan sivuilla olevissa tuoleissa matkustajia pyöritetään ylösalaisin kun vaunu huristaa alas jyrkkiä pudotuksia läpi useiden inversioiden
STR_0568    :
STR_0569    :Erikoisvaljaiden ansiosta matkustajat kokevat lentävänsä ilmojen halki
STR_0570    :
STR_0571    :Pyöreät vaunut pyörivät ympäri mutkikkaalla puisella radalla
STR_0572    :Large capacity boats travel along a wide water channel, propelled up slopes by a conveyer belt, accelerating down steep slopes to soak the riders with a gaint splash
STR_0573    :Powered helicoper shaped cars running on a steel track, controlled by the pedalling of the riders
STR_0574    :Riders are held in special harnesses in a lying-down position, travlling through twisted track and inversions either on their backs or facing the ground

STR_0576    :

STR_0579    :

STR_0581    :Pyöreä tuolirivi nousee korkean tornin huipulle, josta se putoaa vapaasti alas. Alhaalla magneettijarrut pysäyttävät vaunun lempeästi
STR_0582    :
STR_0583    :

STR_0589    :

STR_0592    :
STR_0593    :
STR_0594    :
STR_0595    :
STR_0596    :
STR_0597    :

STR_0601    :

STR_0603    :Vieras {INT32}
STR_0604    :Vieras {INT32}
STR_0605    :Vieras {INT32}
STR_0606    :Vieras {INT32}
STR_0607    :Vieras {INT32}
STR_0608    :Vieras {INT32}
STR_0609    :Vieras {INT32}
STR_0610    :Vieras {INT32}
STR_0611    :Vieras {INT32}
STR_0612    :Vieras {INT32}
STR_0613    :Vieras {INT32}
STR_0614    :Vieras {INT32}
STR_0615    :Vieras {INT32}
STR_0616    :Vieras {INT32}
STR_0617    :Vieras {INT32}
STR_0618    :Vieras {INT32}
STR_0619    :Vieras {INT32}
STR_0620    :Vieras {INT32}
STR_0621    :Vieras {INT32}
STR_0622    :Vieras {INT32}
STR_0623    :Vieras {INT32}
STR_0624    :Vieras {INT32}
STR_0625    :Vieras {INT32}
STR_0626    :Vieras {INT32}
STR_0627    :Vieras {INT32}
STR_0628    :Vieras {INT32}
STR_0629    :Vieras {INT32}
STR_0630    :Vieras {INT32}
STR_0631    :Vieras {INT32}
STR_0632    :Vieras {INT32}
STR_0633    :Vieras {INT32}
STR_0634    :Vieras {INT32}
STR_0635    :Vieras {INT32}
STR_0636    :Vieras {INT32}
STR_0637    :Vieras {INT32}
STR_0638    :Vieras {INT32}
STR_0639    :Vieras {INT32}
STR_0640    :Vieras {INT32}
STR_0641    :Vieras {INT32}
STR_0642    :Vieras {INT32}
STR_0643    :Vieras {INT32}
STR_0644    :Vieras {INT32}
STR_0645    :Vieras {INT32}
STR_0646    :Vieras {INT32}
STR_0647    :Vieras {INT32}
STR_0648    :Vieras {INT32}
STR_0649    :Vieras {INT32}
STR_0650    :Vieras {INT32}
STR_0651    :Vieras {INT32}
STR_0652    :Vieras {INT32}
STR_0653    :Vieras {INT32}
STR_0654    :Vieras {INT32}
STR_0655    :Vieras {INT32}
STR_0656    :Vieras {INT32}
STR_0657    :Vieras {INT32}
STR_0658    :Vieras {INT32}
STR_0659    :Vieras {INT32}
STR_0660    :Vieras {INT32}
STR_0661    :Vieras {INT32}
STR_0662    :Vieras {INT32}
STR_0663    :Vieras {INT32}
STR_0664    :Vieras {INT32}
STR_0665    :Vieras {INT32}
STR_0666    :Vieras {INT32}
STR_0667    :Vieras {INT32}
STR_0668    :Vieras {INT32}
STR_0669    :Vieras {INT32}
STR_0670    :Vieras {INT32}
STR_0671    :Vieras {INT32}
STR_0672    :Vieras {INT32}
STR_0673    :Vieras {INT32}
STR_0674    :Vieras {INT32}
STR_0675    :Vieras {INT32}
STR_0676    :Vieras {INT32}
STR_0677    :Vieras {INT32}
STR_0678    :Vieras {INT32}
STR_0679    :Vieras {INT32}
STR_0680    :Vieras {INT32}
STR_0681    :Vieras {INT32}
STR_0682    :Vieras {INT32}
