# STR_XXXX part is read and XXXX becomes the string id number.
# Everything after the colon and before the new line will be saved as the string.
# Use # at the beginning of a line to leave a comment.

STR_0002    :スパイラルコースター
STR_0003    :スタンディングコースター
STR_0004    :揺れるサスペンデッドコースター
STR_0005    :インバーテッドコースター
STR_0006    :ジュニアジェットコースター
STR_0007    :ミニ列車
STR_0008    :モノレール
STR_0009    :ミニサスペンデッドコースター
STR_0010    :船乗り
STR_0011    :木製ワイルドマウス
STR_0012    :ジャンプレース
STR_0013    :ドライブ
STR_0014    :打ち上げフリーフォール
STR_0015    :ボブスレーコースター
STR_0016    :展望塔
STR_0017    :ループコースター
STR_0018    :ゴムボート滑り台
STR_0019    :暴走トロッコ
STR_0020    :スキーリフト
STR_0021    :コルクスクリューコースター
STR_0022    :迷路
STR_0023    :スパイラル滑り台
STR_0024    :ゴーカート
STR_0025    :ログ・フリューム
STR_0026    :急流川下り
STR_0027    :バンパーカー
STR_0028    :パイレーツシップ
STR_0029    :スイング・インバータ・シップ
STR_0030    :食べ物の店

STR_0032    :飲料の店

STR_0034    :ショップ
STR_0035    :メリーゴーラウンド

STR_0037    :インフォーメーションセンター
STR_0038    :トイレ
STR_0039    :観覧車
STR_0040    :モーションシミュレーター
STR_0041    :3Dシネマ
STR_0042    :トップスピン
STR_0043    :スペースリング
STR_0044    :リバースフリーフォールコースター
STR_0045    :エレベーター
STR_0046    :バーティカルドロップジェットコースター
STR_0047    :ATM
STR_0048    :ツイスト
STR_0049    :お化け屋敷
STR_0050    :救護所
STR_0051    :サーカス
STR_0052    :幻の列車
STR_0053    :鋼鉄ツイスタージェットコースター
STR_0054    :木製ジェットコースター
STR_0055    :サイドフリクションジェットコースター
STR_0056    :ワイルドマウス
STR_0057    :四次元コースター

STR_0059    :フライングコースター

STR_0061    :バージニア・リール
STR_0062    :スプラッシュ・ボート
STR_0063    :ミニヘリコプター
STR_0064    :レイダウンコースター
STR_0065    :サスペンデッドモノレール

STR_0067    :リバーサージェットコースター
STR_0068    :ハートラインツイスターコースター
STR_0069    :ミニチュアゴルフ
STR_0070    :ギガコースター
STR_0071    :ロトドロップ
STR_0072    :空飛ぶ円盤
