# STR_XXXX part is read and XXXX becomes the string id number.
# Everything after the colon and before the new line will be saved as the string.
# Use # at the beginning of a line to leave a comment.

STR_0002    :Spiral berg-og-dal-bane
STR_0003    :Stående berg-og-dal-bane
STR_0004    :Hengende, svingende bane
STR_0005    :Invertert berg-og-dal-bane
STR_0006    :Junior berg-og-dal-bane
STR_0007    :Miniatyrtog

STR_0009    :Mini hengende bane
STR_0010    :Båttur
STR_0011    :Ville mus av tre
STR_0012    :Hinderløp
STR_0013    :Bilbane
STR_0014    :Fritt fall
STR_0015    :Bobbane
STR_0016    :Observasjonstårn
STR_0017    :Loopende berg-og-dal-bane
STR_0018    :Gummibåtsklie
STR_0019    :Gruvetogbane
STR_0020    :Stolheis
STR_0021    :Korketrekker berg-og-dal-bane
STR_0022    :Labyrint
STR_0023    :Spiralsklietårn
STR_0024    :Go kart
STR_0025    :Tømmerrenne
STR_0026    :Elvestryk
STR_0027    :Radiobiler
STR_0028    :Piratskip
STR_0029    :Roterende skip
STR_0030    :Matbod
STR_0031    :Ukjent bod (1D)
STR_0032    :Drikkebod
STR_0033    :Ukjent bod (1F)
STR_0034    :Bod
STR_0035    :Karusell
STR_0036    :Ukjent bod (22)
STR_0037    :Informasjonskiosk
STR_0038    :Toaletter
STR_0039    :Pariserhjul
STR_0040    :Bevegelsessimulator
STR_0041    :3D kino
STR_0042    :Topp spinn
STR_0043    :Romringer
STR_0044    :Bakvendt fritt fall-bane
STR_0045    :Heis
STR_0046    :Vertikalt fall berg-og-dal-bane
STR_0047    :Bankautomat
STR_0048    :Twister
STR_0049    :Spøkelseshus
STR_0050    :Førstehjelp
STR_0051    :Sirkusshow
STR_0052    :Spøkelsestog
STR_0053    :Ståltwister berg-og-dal-bane
STR_0054    :Tre-berg-og-dal-bane
STR_0055    :Side-friksjonsberg-og-dal-bane
STR_0056    :Ville mus
STR_0057    :Multidimensjonal berg-og-dal-bane
STR_0058    :Ukjent attraksjon (38)
STR_0059    :Flyvende berg-og-dal-bane
STR_0060    :Ukjent attraksjon (3A)
STR_0061    :Virginiaspinner
STR_0062    :Splashbåter
STR_0063    :Minihelikoptere
STR_0064    :Liggende berg-og-dal-bane
STR_0065    :Hengende monorail
STR_0066    :Ukjent attraksjon (40)
STR_0067    :Reverserende berg-og-dal-bane
STR_0068    :Hjertetwisterbane
